RA,DEC,U,B,V,g,r,i,U_err,B_err,V_err,g_err,r_err,i_err
113.7691667,-69.46886111,17.348,17.086,16.245,16.624,15.974,15.648,0.036,0.021,0.015,0.015,0.02,0.016
113.7733333,-69.54508333,,17.431,16.119,16.753,15.627,15.114,,0.019,0.015,0.015,0.034,0.016
113.8041667,-69.49933333,14.986,14.724,13.894,14.267,13.648,13.374,0.015,0.015,0.015,0.015,0.022,0.015
113.8070833,-69.45147222,16.902,16.672,15.851,16.215,15.615,15.303,0.026,0.019,0.015,0.015,0.028,0.02
113.81375,-69.45319444,17.793,17.455,16.631,17.006,16.366,16.078,0.051,0.015,0.015,0.015,0.027,0.024
113.84625,-69.58775,,17.067,15.755,16.393,15.242,14.747,,0.015,0.015,0.015,0.024,0.015
113.86625,-69.51894444,16.829,16.515,15.674,16.053,15.454,15.175,0.021,0.015,0.015,0.015,0.031,0.015
113.88625,-69.57233333,15.082,14.98,14.279,14.597,14.102,13.857,0.015,0.015,0.015,0.015,0.02,0.015
113.8995833,-69.4965,17.64,16.823,15.639,16.174,15.27,14.85,0.029,0.015,0.015,0.015,0.023,0.017
113.9070833,-69.46463889,16.21,15.976,15.18,15.538,14.97,14.701,0.015,0.015,0.015,0.015,0.021,0.015
113.9083333,-69.56330556,16.575,16.471,15.747,16.077,15.541,15.266,0.015,0.015,0.015,0.015,0.019,0.015
113.9320833,-69.45058333,18.004,17.852,16.881,17.297,16.588,16.255,0.015,0.029,0.015,0.015,0.034,0.015
113.9358333,-69.60591667,16.595,16.279,15.424,15.821,15.172,14.851,0.015,0.015,0.015,0.015,0.027,0.015
113.9375,-69.57758333,17.238,17.14,16.413,16.745,16.217,15.951,0.015,0.015,0.015,0.015,0.028,0.025
113.9425,-69.42066667,17.877,17.59,16.762,17.136,16.523,16.239,0.077,0.035,0.02,0.015,0.015,0.019
113.9466667,-69.51533333,17.448,17.146,16.267,16.645,16.016,15.726,0.052,0.015,0.015,0.015,0.018,0.019
113.9758333,-69.40525,16.011,15.529,14.591,15.008,14.277,13.949,0.015,0.021,0.015,0.017,0.015,0.015
113.9879167,-69.45325,14.316,14.239,13.585,13.879,13.425,13.206,0.015,0.028,0.015,0.015,0.016,0.019
113.9975,-69.4185,17.916,17.695,16.835,17.203,16.628,16.325,0.015,0.04,0.015,0.015,0.02,0.018
114.0104167,-69.54797222,17.66,17.506,16.787,17.099,16.624,16.378,0.049,0.024,0.015,0.016,0.039,0.033
114.02875,-69.48094444,17.593,17.08,16.144,16.571,15.883,15.584,0.015,0.02,0.015,0.015,0.017,0.018
114.0575,-69.41419444,16.904,16.735,15.955,16.296,15.743,15.471,0.019,0.015,0.015,0.015,0.015,0.021
114.05875,-69.44502778,18.312,17.814,16.887,17.3,16.648,16.342,0.015,0.028,0.015,0.017,0.029,0.022
114.08,-69.59130556,,18.4,16.915,17.666,16.306,15.686,,0.037,0.015,0.015,0.023,0.016
