recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
42762192,159.439342,-27.836141,0.554,0.192,20161476,4,20,1.345,0.039,14.101,0.011,15.446,0.037,14.718,0.033,13.671,0.028,13.2,0.069
42762193,159.453912,-27.834875,0.447,0.948,20161476,2,9,0.689,0.151,15.969,0.016,16.658,0.15,16.359,0.008,15.861,0.08,15.687,0.0
42762194,159.447457,-27.810597,0.725,0.63,20161476,4,17,0.843,0.162,15.663,0.036,16.505,0.157,15.988,0.113,15.405,0.033,15.066,0.177
42762277,159.260704,-27.796791,1.029,1.011,20161476,2,2,,,,,,,17.37,0.0,,,15.846,0.143
42762278,159.37463,-27.836864,0.761,0.64,20161476,4,19,0.903,0.088,15.319,0.04,16.222,0.078,15.691,0.049,15.102,0.054,14.858,0.043
42762279,159.313188,-27.826248,1.032,0.479,20161476,3,7,0.79,0.0,16.356,0.0,17.146,0.0,16.741,0.084,16.097,0.044,15.917,0.142
42762280,159.315856,-27.818692,1.472,1.064,20161476,2,5,0.594,0.0,16.945,0.0,17.539,0.0,17.35,0.072,16.761,0.0,16.434,0.0
42762281,159.352176,-27.808558,0.661,1.027,20161476,2,6,0.558,0.0,16.712,0.0,17.27,0.0,16.856,0.017,16.306,0.043,,
42762282,159.362191,-27.800336,1.213,0.825,20161476,3,10,0.819,0.11,16.837,0.091,17.656,0.061,17.259,0.055,16.782,0.071,,
42762283,159.408786,-27.796045,0.121,0.101,20131359,6,28,0.546,0.027,11.674,0.009,12.22,0.025,11.892,0.033,11.562,0.023,11.464,0.045
42762284,159.381005,-27.75443,1.143,0.955,20161476,3,10,0.786,0.14,16.42,0.0,17.206,0.14,16.794,0.008,16.208,0.031,15.788,0.067
42762285,159.400289,-27.770629,0.322,0.842,20161476,4,18,0.718,0.058,14.749,0.03,15.467,0.049,15.034,0.039,14.565,0.029,14.422,0.043
42762286,159.321013,-27.79,0.7,1.079,20161476,2,9,0.604,0.15,16.486,0.082,17.09,0.126,16.749,0.068,16.355,0.067,16.053,0.0
42762287,159.287267,-27.791337,0.533,0.322,20161476,4,20,0.93,0.06,14.798,0.008,15.728,0.059,15.192,0.048,14.54,0.041,14.266,0.058
42762288,159.300656,-27.759395,0.278,0.327,20131359,5,24,0.535,0.034,13.677,0.018,14.212,0.029,13.889,0.025,13.553,0.039,13.428,0.078
42762289,159.302299,-27.781492,0.462,0.354,20161476,4,20,0.665,0.055,14.783,0.035,15.447,0.042,15.071,0.031,14.663,0.049,14.504,0.063
42762290,159.309439,-27.767008,0.706,0.853,20161476,4,18,0.899,0.094,15.377,0.064,16.277,0.068,15.755,0.054,15.143,0.047,14.886,0.093
42762291,159.330746,-27.733065,0.263,0.334,20131359,5,22,1.026,0.057,14.073,0.019,15.099,0.054,14.54,0.023,13.745,0.031,13.394,0.04
42762300,159.247819,-27.776003,0.897,0.666,20161476,3,14,0.901,0.128,16.272,0.106,17.173,0.071,16.73,0.032,16.174,0.097,15.953,0.006
42762310,159.250271,-27.737806,0.543,0.439,20161476,4,18,1.038,0.084,15.288,0.017,16.326,0.082,15.759,0.071,15.028,0.042,14.711,0.105
42762311,159.292309,-27.722845,0.326,0.254,20161476,4,20,0.537,0.036,14.269,0.025,14.807,0.026,14.483,0.03,14.141,0.044,14.001,0.061
42762312,159.323574,-27.692308,0.967,1.23,20161476,2,10,1.084,0.247,16.358,0.043,17.441,0.243,16.833,0.071,16.262,0.141,15.941,0.063
42762313,159.287063,-27.708722,0.175,0.131,20131359,6,30,0.538,0.026,12.505,0.011,13.043,0.023,12.717,0.03,12.39,0.031,12.269,0.054
42762314,159.281011,-27.71586,0.279,0.28,20161476,4,20,0.745,0.048,14.391,0.028,15.136,0.04,14.729,0.025,14.187,0.015,13.923,0.057
42762315,159.297039,-27.673775,0.407,0.212,20131359,5,20,0.605,0.039,13.518,0.011,14.123,0.037,13.758,0.025,13.356,0.017,13.181,0.039
42762316,159.283359,-27.675672,0.457,0.341,20161476,4,20,0.534,0.046,14.984,0.019,15.518,0.043,15.221,0.033,14.875,0.043,14.753,0.149
42762317,159.303575,-27.68394,0.748,1.11,20161476,3,15,0.732,0.03,14.938,0.026,15.671,0.014,15.323,0.038,14.564,0.02,14.204,0.094
