recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
390676,41.908841,26.994122,0.114,0.117,20121320,4,20,0.732,0.091,13.458,0.066,14.19,0.062,13.797,0.048,13.257,0.076,13.071,0.034
390677,41.905119,27.00773,0.078,0.05,20121320,4,20,0.564,0.103,11.617,0.081,12.181,0.063,11.892,0.043,11.499,0.085,11.369,0.039
390685,41.980782,27.041358,0.747,1.096,20121320,2,4,,,16.466,0.0,,,16.813,0.05,16.215,0.0,15.888,0.0
390687,42.017836,27.103273,0.867,0.711,20151198,3,12,1.094,0.066,15.16,0.047,16.254,0.046,15.705,0.017,14.685,0.141,14.196,0.074
390719,42.027778,27.121344,0.709,0.919,20151198,2,5,,,,,,,16.941,0.08,16.262,0.131,15.96,0.0
447277,41.786241,26.984225,0.307,0.544,20151198,2,5,,,,,,,17.767,0.191,16.397,0.11,15.688,0.0
447282,41.656811,26.978299,0.131,0.083,20121320,4,20,0.645,0.109,12.832,0.077,13.477,0.076,13.14,0.04,12.672,0.083,12.496,0.047
447283,41.650549,27.000958,0.485,0.328,20121320,4,20,0.785,0.115,14.723,0.075,15.508,0.087,15.097,0.044,14.501,0.09,14.273,0.053
447284,41.667191,27.008323,0.692,0.682,20121320,4,19,1.012,0.15,15.665,0.059,16.678,0.138,16.14,0.085,15.249,0.059,14.97,0.125
447285,41.694782,27.007621,0.674,1.048,20121320,3,9,1.339,0.192,16.482,0.0,17.821,0.192,17.001,0.084,16.346,0.104,15.927,0.0
447286,41.700306,27.01453,0.186,0.11,20121320,4,20,0.741,0.098,13.468,0.076,14.209,0.062,13.821,0.042,13.273,0.088,13.091,0.047
447287,41.716606,27.008764,0.694,0.688,20121320,4,19,0.786,0.152,15.367,0.112,16.154,0.103,15.695,0.066,15.165,0.089,14.867,0.043
