objName,objID,raMean,decMean,raMeanErr,decMeanErr,nDetections,randomID,projectionID,skyCellID,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,epochMean,nStackDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanKronMag,gMeanKronMagErr,gMeanApMag,gMeanApMagErr,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanKronMag,rMeanKronMagErr,rMeanApMag,rMeanApMagErr,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanKronMag,iMeanKronMagErr,iMeanApMag,iMeanApMagErr,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanKronMag,zMeanKronMagErr,zMeanApMag,zMeanApMagErr,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanKronMag,yMeanKronMagErr,yMeanApMag,yMeanApMagErr,yFlags,Ang Sep (')
b'PSO J103737.329-273538.819',b'74881594055307359',159.405491667,-27.5941222222,0.005,0.005,73,0.183862255126,750,12,595910656,71,b'10 37 37.330',b'-27 35 38.82',0.001,0.001,56079.0782407,20,16,12,8,16,21,,12.635,,,,,,98340,,12.512,,,,,,98340,,12.531,,,,,,98340,,12.597,,,,,,114724,0.999,14.254,0.048,11.998,0.012,13.349,0.046,16892216,0.004
b'PSO J103737.716-273530.909',b'74891594072560041',159.4071,-27.5919138889,0.017,0.017,2,0.168268537306,750,11,310456320,37,b'',b'',,,55545.6579167,0,0,0,0,2,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.951,17.851,0.027,,,16.618,0.094,16777496,,,,,,,,0,0.161
b'PSO J103736.742-273548.847',b'74881594030814186',159.403041667,-27.5969,0.011,0.011,4,0.681775601284,750,12,310456320,37,b'',b'',,,56013.3558333,0,1,2,0,0,1,0.921,19.359,0.02,18.317,0.018,18.563,0.02,16777496,0.876,18.315,0.057,13.93,0.006,17.748,0.106,16777496,,,,,,,,0,,,,,,,,0,0.739,16.568,0.024,15.512,0.02,15.541,0.024,16777744,0.208
b'PSO J103738.221-273529.619',b'74891594091720286',159.409258333,-27.5915611111,0.043,0.043,2,0.141695278829,750,11,277348352,33,b'',b'',,,55637.6940741,0,0,0,1,1,0,,,,,,,,0,,,,,,,,0,0.823,19.499,0.064,16.716,0.019,18.771,0.064,16781328,0.739,19.479,0.055,,,18.803,0.055,16781336,,,,,,,,0,0.256
b'PSO J103737.946-273524.511',b'74891594080452003',159.408041667,-27.5901527778,0.053,0.053,2,0.908492637713,750,11,310456320,37,b'',b'',,,55933.5919097,0,0,1,0,1,0,,,,,,,,0,0.793,19.378,0.038,18.354,0.023,18.6,0.038,16781336,,,,,,,,0,0.857,19.442,0.051,,,18.573,0.051,16777496,,,,,,,,0,0.277
b'PSO J103738.174-273526.385',b'74891594090601626',159.409008333,-27.5906583333,0.028,0.028,2,0.00306239072519,750,11,310456320,37,b'',b'',,,55606.5268866,0,0,2,0,0,0,,,,,,,,0,0.917,19.282,0.0,17.707,0.0,18.167,0.0,16777496,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.283
b'PSO J103738.174-273559.700',b'74881594090520379',159.4090125,-27.599925,0.037,0.022,71,0.681398206094,750,1,528801792,63,b'10 37 38.174',b'-27 35 59.70',0.001,0.001,56097.3397917,20,14,12,16,15,14,1.0,18.116,0.03,16.184,0.017,17.185,0.028,16892216,1.0,17.529,0.017,15.521,0.009,16.559,0.015,16892216,0.999,17.133,0.02,15.36,0.018,16.22,0.012,16892216,1.0,17.003,0.034,14.956,0.099,16.259,0.062,16892216,1.0,16.73,0.045,14.889,0.026,15.702,0.03,16892216,0.395
b'PSO J103738.251-273559.193',b'74881594094310505',159.409329167,-27.599775,0.014,0.014,2,0.0421718126556,750,11,310456320,37,b'',b'',,,56237.5282292,0,0,0,1,1,0,,,,,,,,0,,,,,,,,0,0.996,18.402,0.015,,,17.575,0.015,16777496,0.998,17.436,0.01,16.504,0.01,16.618,0.01,16777488,,,,,,,,0,0.396
b'PSO J103739.100-273537.531',b'74881594129437803',159.412916667,-27.5937583333,0.139,0.139,2,0.248945201979,750,11,268959744,32,b'',b'',,,55592.9851273,0,0,0,0,0,2,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.798,19.528,0.221,18.435,0.098,18.792,0.715,4120,0.399
b'PSO J103739.116-273544.276',b'74881594128855677',159.412929167,-27.5956305556,0.173,0.173,2,0.566361982903,750,11,302067712,36,b'',b'',,,56417.2391435,0,0,0,0,0,2,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.998,19.161,0.173,18.271,0.158,18.402,0.173,16777496,0.408
b'PSO J103735.635-273528.034',b'74891593985250803',159.398429167,-27.5911166667,0.115,0.115,2,0.417755575308,750,12,176238592,21,b'10 37 35.601',b'-27 35 28.56',0.001,0.001,55799.8078472,11,0,0,0,1,1,,,,,,,,32,,,,,,,,114720,,,,,,,,114720,0.998,20.016,0.158,18.764,0.134,19.157,0.158,16892208,0.997,19.788,0.165,18.229,0.104,18.865,0.165,16777528,0.415
b'PSO J103738.832-273523.612',b'74891594117582361',159.41175,-27.5898888889,0.115,0.115,2,0.991018834515,750,11,310456320,37,b'',b'',,,55937.2158912,0,0,0,0,1,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.997,20.019,0.153,18.781,0.127,19.193,0.153,16777488,0.999,18.913,0.173,17.699,0.15,17.851,0.173,16777496,0.422
b'PSO J103735.388-273541.302',b'74881593974086597',159.3974,-27.5948027778,0.109,0.109,2,0.390286542839,750,12,310456320,37,b'',b'',,,56104.1991898,0,0,0,0,1,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.998,20.14,0.167,18.732,0.123,19.232,0.167,16777488,0.999,19.126,0.143,17.729,0.097,18.141,0.143,16777496,0.429
