objName,objID,raMean,decMean,raMeanErr,decMeanErr,nDetections,randomID,projectionID,skyCellID,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,epochMean,nStackDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanKronMag,gMeanKronMagErr,gMeanApMag,gMeanApMagErr,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanKronMag,rMeanKronMagErr,rMeanApMag,rMeanApMagErr,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanKronMag,iMeanKronMagErr,iMeanApMag,iMeanApMagErr,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanKronMag,zMeanKronMagErr,zMeanApMag,zMeanApMagErr,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanKronMag,yMeanKronMagErr,yMeanApMag,yMeanApMagErr,yFlags,Ang Sep (')
b'PSO J023645.090+145905.316',b'125980391877592353',39.1878791667,14.9848111111,0.119,0.119,2,0.491247011806,1600,79,268959744,32,b'',b'',,,55477.596412,0,0,2,0,0,0,,,,,,,,0,0.664,21.215,0.203,21.3,0.259,21.197,0.178,4120,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.285
b'PSO J023645.176+145903.552',b'125980391882231532',39.1882375,14.9843194444,0.087,0.087,2,0.966622007048,1600,79,268959744,32,b'',b'',,,55477.5722338,0,2,0,0,0,0,0.677,20.788,0.09,20.698,0.039,20.497,0.011,4120,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.319
b'PSO J023642.640+145916.776',b'125980391777156066',39.1776666667,14.9879944444,0.148,0.148,2,0.674756041425,1600,79,268959744,32,b'',b'',,,56550.4212616,0,0,0,1,0,1,,,,,,,,0,,,,,,,,0,0.676,21.12,0.21,,,21.998,0.21,4120,,,,,,,,0,0.609,20.333,0.209,,,,,4120,0.36
b'PSO J023643.312+145856.399',b'125970391804539232',39.1804666667,14.9823333333,0.169,0.169,2,0.438358158281,1600,79,268959744,32,b'',b'',,,56233.3363194,0,0,0,2,0,0,,,,,,,,0,,,,,,,,0,0.637,21.529,0.121,,,21.658,0.282,4120,,,,,,,,0,,,,,,,,0,0.371
b'PSO J023645.486+145903.631',b'125980391894971482',39.1895625,14.9843,0.047,0.04,25,0.6786236611,1600,79,444915840,53,b'02 36 45.495',b'+14 59 03.56',0.001,0.001,56237.2375347,4,0,2,16,5,2,,,,,,,,16416,0.999,21.779,0.148,21.597,0.014,21.748,0.037,115000,0.999,21.226,0.086,20.885,0.067,20.732,0.079,16892216,0.999,20.778,0.279,20.496,0.266,20.431,0.213,115000,0.999,20.326,0.167,20.24,0.143,20.133,0.118,115000,0.384
b'PSO J023642.238+145911.095',b'125980391759604202',39.176025,14.9863777778,0.06,0.05,10,0.143065486237,1600,79,436527104,52,b'02 36 42.243',b'+14 59 11.10',0.001,0.001,56418.7178472,4,0,0,9,1,0,,,,,,,,16416,,,,,,,,114720,0.999,21.522,0.053,21.706,0.072,21.643,0.073,115000,0.997,21.422,0.172,21.052,0.268,21.008,0.172,115000,,,,,,,,114720,0.46
b'PSO J023643.910+145847.336',b'125970391829516276',39.1829916667,14.9797777778,0.01,0.011,40,0.913083975122,1600,79,436527104,52,b'02 36 43.913',b'+14 58 47.35',0.001,0.001,56156.877037,4,0,3,18,9,10,,,,,,,,0,0.999,21.434,0.155,21.913,0.126,21.502,0.242,115000,0.999,20.259,0.016,20.346,0.034,20.253,0.038,115000,0.999,19.551,0.016,19.63,0.031,19.516,0.044,115000,0.999,19.167,0.038,19.295,0.041,19.228,0.017,115000,0.47
b'PSO J023642.686+145853.984',b'125970391778128536',39.1779125,14.981625,0.087,0.087,4,0.766016032329,1600,79,436363264,52,b'02 36 42.688',b'+14 58 53.81',0.001,0.001,56546.0673727,4,0,0,2,1,1,,,,,,,,16416,,,,,,,,114720,0.998,21.79,0.102,22.475,0.148,22.391,0.03,115000,0.997,21.194,0.172,21.005,0.319,20.817,0.172,114992,0.998,20.447,0.175,19.861,0.205,19.865,0.175,16892216,0.496
b'PSO J023642.020+145903.980',b'125980391750271793',39.1751166667,14.9844055556,0.039,0.049,16,0.977127222323,1600,79,436527104,52,b'02 36 42.019',b'+14 59 03.98',0.001,0.001,56236.7611458,3,0,0,10,6,0,,,,,,,,16416,,,,,,,,16416,0.999,21.452,0.08,21.271,0.095,21.196,0.065,115000,0.999,21.036,0.083,20.893,0.036,20.779,0.082,115000,,,,,,,,114720,0.542
b'PSO J023645.062+145844.518',b'125970391877505335',39.1877833333,14.979025,0.015,0.014,42,0.379732361417,1600,79,436527104,52,b'02 36 45.062',b'+14 58 44.52',0.001,0.001,56162.587037,5,0,3,18,10,11,,,,,,,,114720,0.998,21.801,0.01,21.693,0.085,21.717,0.143,115000,0.999,20.655,0.022,20.726,0.049,20.622,0.044,115000,0.999,20.067,0.032,20.064,0.026,19.973,0.059,115000,0.999,19.792,0.052,19.619,0.153,19.595,0.058,115000,0.56
b'PSO J023646.610+145908.519',b'125980391942193398',39.1942375,14.9857027778,0.01,0.012,59,0.127330776423,1600,79,444915712,53,b'02 36 46.611',b'+14 59 08.52',0.001,0.001,56058.1978241,5,12,7,16,12,12,0.999,21.311,0.102,20.744,0.067,20.705,0.094,16892216,0.999,20.632,0.082,19.591,0.036,19.799,0.062,16892216,0.999,20.024,0.02,19.081,0.023,19.204,0.027,16892216,0.999,19.693,0.04,18.807,0.015,18.918,0.037,16892216,0.999,19.471,0.082,18.63,0.071,18.722,0.051,16892216,0.611
b'PSO J023643.269+145950.737',b'125990391803247383',39.180325,14.9973916667,0.052,0.05,10,0.757362153155,1600,79,436527104,52,b'02 36 43.280',b'+14 59 50.66',0.001,0.001,56163.1412847,3,0,0,1,6,3,,,,,,,,16416,,,,,,,,16416,0.998,21.914,0.181,,,21.981,0.181,115000,0.999,20.921,0.148,21.087,0.082,21.283,0.194,115000,0.998,20.259,0.067,20.463,0.118,20.348,0.085,115000,0.624
b'PSO J023646.563+145902.125',b'125980391940311378',39.1940125,14.983925,0.181,0.181,2,0.169666562387,1600,79,268959744,32,b'',b'',,,56972.4820949,0,0,0,2,0,0,,,,,,,,0,,,,,,,,0,0.653,21.143,0.063,,,21.978,0.721,4120,,,,,,,,0,,,,,,,,0,0.627
b'PSO J023646.399+145933.587',b'125990391932801686',39.1933625,14.992625,0.098,0.098,3,0.727684214458,1600,79,436281344,52,b'02 36 46.422',b'+14 59 33.49',0.001,0.001,56013.6057176,4,0,0,3,0,0,,,,,,,,16416,,,,,,,,114720,0.999,21.613,0.171,21.615,0.206,21.599,0.283,115000,,,,,,,,114720,,,,,,,,114720,0.628
