r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
4.15,287831716,114.123526,-69.550319,13,36,b'073629.64-693301.1',57030.4748,0,0,1,0,1,0.393,,,,,,,,,,,,,,,,,18.515,0.067,18.363,0.201,,,,,60.0,
17.12,287831729,114.133251,-69.546132,13,36,b'073631.98-693246.0',57030.4751,0,0,1,0,1,0.568,,,,,,,,,,,,,,,,,,,,,17.75,0.024,17.871,0.194,60.0,
41.63,287831712,114.156847,-69.545457,13,36,b'073637.64-693243.6',57030.4751,0,0,1,0,1,0.422,,,,,,,,,,,,,,,,,,,,,17.84,0.021,17.617,0.24,60.0,
50.4,287832202,114.087197,-69.552392,22,36,b'073620.92-693308.6',57030.4748,0,0,3,0,1,0.751,,,,,,,,,,,,,18.214,0.05,17.593,0.16,17.86,0.058,17.633,0.119,17.745,0.035,17.913,0.142,4.2,287832204.0
52.8,287832203,114.084943,-69.551304,222,306,b'073620.36-693304.5',57030.4746,0,0,2,0,1,0.428,,,,,,,,,,,,,18.833,0.164,18.682,0.195,18.458,0.117,17.713,0.185,,,,,2.5,287832204.0
53.72,287831714,114.14942,-69.56299,38,36,b'073635.85-693346.7',57030.4746,0,0,4,0,1,0.569,,,,,,,,,18.384,0.019,18.288,0.223,18.276,0.03,18.532,0.158,17.74,0.048,17.658,0.116,17.507,0.076,17.07,0.133,60.0,
53.97,287832204,114.084157,-69.551914,13,36,b'073620.19-693306.8',57030.4748,1,0,1,0,1,0.474,,,,,,,,,,,,,,,,,18.766,0.137,18.512,0.214,,,,,2.5,287832203.0
54.5,287831715,114.138558,-69.564898,46,36,b'073633.25-693353.6',57030.4746,0,0,4,0,1,0.976,,,,,,,,,18.555,0.048,18.569,0.193,17.885,0.025,18.072,0.119,16.882,0.015,16.889,0.068,16.455,0.008,16.518,0.06,60.0,
58.69,287831711,114.173255,-69.548701,22,36,b'073641.57-693255.2',57030.4746,0,0,4,0,1,0.976,,,,,,,,,18.631,0.057,18.854,0.188,17.546,0.025,17.445,0.089,17.021,0.005,17.056,0.075,16.706,0.015,16.767,0.068,60.0,
60.79,287832199,114.10978,-69.566126,13,36,b'073626.34-693358.0',57030.4751,0,0,1,0,1,0.524,,,,,,,,,,,,,,,,,,,,,18.229,0.013,18.268,0.22,60.0,
